platform,dataset,model,precision,latency_mean,latency_std,latency_median,latency_p95,latency_p5,energy_per_rep_kwh,energy_per_rep_uwh,accuracy_metric,accuracy_value,n_reps
broadwell_colab,olist,catboost,fp64,18.06369044003077,15.828672630322192,8.12612499998977,43.562600900099824,7.388380349811996,2.641328004722633e-07,0.2641328004722633,roc_auc,0.7764233025746183,50
broadwell_colab,olist,catboost,fp32,8.055720060019667,1.2788541818352661,7.543875999999727,11.884146750048785,7.387624549846805,1.1786243222227061e-07,0.11786243222227061,roc_auc,0.7764233025746183,50
broadwell_colab,olist,catboost,fp16,7.825067400044645,0.588418943115385,7.607561499980875,8.696300850033365,7.420077250185386,1.1448373838884311e-07,0.11448373838884311,roc_auc,0.7760993392572341,50
broadwell_colab,olist,catboost,bf16,8.178074120023666,1.170893937463499,7.668759999887698,10.80254425003204,7.4425313001938775,1.1960617340273278e-07,0.11960617340273279,roc_auc,0.7762621041239463,50
broadwell_colab,olist,catboost,int8,8.38902472000882,2.5356514852285588,7.500243499862336,13.164917850008342,7.371175700041022,1.2270201223608664e-07,0.12270201223608664,roc_auc,0.5378305137844612,50
broadwell_colab,nyc_taxi,lightgbm,fp64,560.3460669399738,68.59621605147996,523.4299034998458,680.7759401501698,501.0825583500946,8.172063399208274e-06,8.172063399208275,rmse,0.2589078413194156,50
broadwell_colab,nyc_taxi,lightgbm,fp32,552.7277020800193,59.65351971169836,518.6864839999998,658.8923805999684,498.78941080019104,8.060986720763809e-06,8.06098672076381,rmse,0.2589078413194156,50
broadwell_colab,nyc_taxi,lightgbm,fp16,564.9303359600253,85.07676852315909,519.8895639998682,698.3353160999968,497.7057226499255,8.238933592444488e-06,8.238933592444488,rmse,0.2589118364925115,50
broadwell_colab,nyc_taxi,lightgbm,bf16,553.8467221599876,62.314518974389195,516.838698499896,681.7842060497924,499.81859969971083,8.077310315388868e-06,8.077310315388868,rmse,0.25990821318769003,50
broadwell_colab,nyc_taxi,lightgbm,int8,311.56226285998855,39.21874606585664,293.04869149996193,391.3313603997494,277.281377949771,4.543928236819518e-06,4.543928236819518,rmse,1.8144576186357355,50
broadwell_colab,nyc_taxi,xgboost,fp64,131.4935675399738,42.89573994852206,107.59356699986711,221.14601090006545,101.13730994996786,1.9179854897778345e-06,1.9179854897778346,rmse,0.2646770345920722,50
broadwell_colab,nyc_taxi,xgboost,fp32,129.28705877995526,39.00718533469875,113.6715785000888,221.1301297998716,101.07515140007308,1.8857428669165935e-06,1.8857428669165934,rmse,0.2646770345920722,50
broadwell_colab,nyc_taxi,xgboost,fp16,108.3296024199808,10.713442044848545,103.40933699990273,132.86360744991725,101.34913324993704,1.580198511402778e-06,1.5801985114027781,rmse,0.26525895127519344,50
broadwell_colab,nyc_taxi,xgboost,bf16,152.82578288001787,51.47702351884653,124.44207099997584,224.65886150027927,101.26136114977271,2.2290852841667037e-06,2.2290852841667035,rmse,0.2659604822978095,50
broadwell_colab,nyc_taxi,xgboost,int8,106.25632188001873,7.266888027352202,103.96490900006938,123.48783650018049,101.30090970008041,1.5499392387639356e-06,1.5499392387639357,rmse,1.8865738958889842,50
broadwell_colab,nyc_taxi,catboost,fp64,8.410575059951952,2.531263974039733,7.700062000139951,11.922903949971433,7.524245199829238,1.230174256389584e-07,0.1230174256389584,rmse,0.27856078647882104,50
broadwell_colab,nyc_taxi,catboost,fp32,7.996722320003755,0.5997533672845264,7.715490500231681,9.239832150137772,7.5025045499160115,1.1700779840288709e-07,0.11700779840288708,rmse,0.27856078647882104,50
broadwell_colab,nyc_taxi,catboost,fp16,11.237755020047189,3.237151479105405,11.665862499967261,16.883506200247208,7.50362960000075,1.6427495363888055e-07,0.16427495363888056,rmse,0.278551158519672,50
broadwell_colab,nyc_taxi,catboost,bf16,17.79150309997931,4.2063685403494855,18.768052500035992,23.75515729993367,10.90531544998612,2.5979472347215613e-07,0.25979472347215615,rmse,0.2793229728004987,50
broadwell_colab,nyc_taxi,catboost,int8,17.53130483996756,3.898152303065233,18.041092499970546,22.515052650169302,10.615315800032477,2.5605028226394524e-07,0.2560502822639452,rmse,1.9212709711219245,50
skylake_kaggleb,olist,lightgbm,fp64,42.761043959972085,2.0259658464012227,42.37432200011426,44.43697524973231,41.512331449848716,7.429198859582774e-07,0.7429198859582774,roc_auc,0.7869172932330828,50
skylake_kaggleb,olist,lightgbm,fp32,42.48586576006346,0.974769032398281,42.389851500274744,44.04587549972803,41.32796665007845,7.381210159999355e-07,0.7381210159999355,roc_auc,0.7869141604010026,50
skylake_kaggleb,olist,lightgbm,fp16,43.62633506000748,5.931674256201969,41.892947499945876,56.499164650244886,41.06615710013557,7.578965025555691e-07,0.7578965025555691,roc_auc,0.7868700159489632,50
skylake_kaggleb,olist,lightgbm,bf16,72.53750559999389,3.0193676766761204,71.92932699990706,74.78925184998388,70.20800254995265,1.2599678088750025e-06,1.2599678088750026,roc_auc,0.7866146901344271,50
skylake_kaggleb,olist,lightgbm,int8,39.56061139995654,0.7643156335402278,39.35723599965968,40.907434899963846,38.594080549773935,6.873021472222768e-07,0.6873021472222768,roc_auc,0.5324556419457736,50
skylake_kaggleb,olist,xgboost,fp64,25.287574139993012,4.3172607362038455,23.841389499921206,36.97738129988011,23.49448734987618,4.4024915202783814e-07,0.44024915202783815,roc_auc,0.7838882718159034,50
skylake_kaggleb,olist,xgboost,fp32,24.074145719987428,0.5202132005615075,23.91655500014167,25.116396250041362,23.629869649903412,4.1837593954166624e-07,0.41837593954166624,roc_auc,0.7838882718159034,50
skylake_kaggleb,olist,xgboost,fp16,25.005149959970367,3.6385801558366726,24.12223149985948,25.84012934992188,23.707866199924865,4.346107611249864e-07,0.43461076112498637,roc_auc,0.783619417862839,50
skylake_kaggleb,olist,xgboost,bf16,24.20580936000988,0.41098529945938583,24.068574000239096,24.95718895011123,23.675007250062663,4.2070243902773854e-07,0.4207024390277385,roc_auc,0.7835748462064251,50
skylake_kaggleb,olist,xgboost,int8,24.060475220057924,0.42800849700537547,23.926360000132263,24.770590800062564,23.660781900048278,4.1815566443053994e-07,0.4181556644305399,roc_auc,0.5391255126452494,50
skylake_kaggleb,olist,catboost,fp64,7.231891200026439,0.710664571292337,7.4555949997829885,8.028366350254146,6.055725599890138,1.260160860001065e-07,0.1260160860001065,roc_auc,0.7764233025746183,50
skylake_kaggleb,olist,catboost,fp32,7.46287528006178,0.8260949277979464,7.475299000134328,8.728952400201706,6.2005300497048665,1.301150325695062e-07,0.1301150325695062,roc_auc,0.7764233025746183,50
skylake_kaggleb,olist,catboost,fp16,7.16371884002001,0.8557386437106024,7.37726800002747,8.65427355004158,5.882292200112715,1.2488927998619676e-07,0.12488927998619676,roc_auc,0.7760993392572341,50
skylake_kaggleb,olist,catboost,bf16,7.112894480042087,1.0336211248632876,7.125285500023892,8.771835949801243,5.704256400053964,1.2404836026392256e-07,0.12404836026392256,roc_auc,0.7762621041239463,50
skylake_kaggleb,olist,catboost,int8,7.185942879996219,0.8127792614528216,7.225877000109904,8.3823503000076,5.83448974998646,1.2517842936108536e-07,0.12517842936108536,roc_auc,0.5378305137844612,50
skylake_kaggleb,nyc_taxi,lightgbm,fp64,268.23916248000387,4.650776706824344,267.7721179998116,275.13156689988136,262.51818429984723,4.657413622944426e-06,4.657413622944426,rmse,0.2589078413194156,50
skylake_kaggleb,nyc_taxi,lightgbm,fp32,276.04325802003586,11.233544215364855,272.235096500026,298.9334192001934,263.622229149928,4.793034461430447e-06,4.793034461430447,rmse,0.2589078413194156,50
skylake_kaggleb,nyc_taxi,lightgbm,fp16,266.1478447400259,6.524862045933618,265.7685574997686,271.50990810002895,260.90144844990846,4.621155737472198e-06,4.621155737472198,rmse,0.2589118364925115,50
skylake_kaggleb,nyc_taxi,lightgbm,bf16,269.32792952002274,7.122909029339947,268.38030199996865,274.7222059000478,262.43692565014953,4.676321749735993e-06,4.676321749735993,rmse,0.25990821318769003,50
skylake_kaggleb,nyc_taxi,lightgbm,int8,161.05143338002563,6.575708232066861,160.7648855001571,168.0812736999087,154.09973109988186,2.796584717444413e-06,2.7965847174444134,rmse,1.8144576186357355,50
skylake_kaggleb,nyc_taxi,xgboost,fp64,54.295645859992874,1.2910754911874909,53.91294450009809,56.908082500081036,52.92836565001835,9.430449888056324e-07,0.9430449888056324,rmse,0.2646770345920722,50
skylake_kaggleb,nyc_taxi,xgboost,fp32,53.648515919967394,0.6988236243940513,53.58399799979452,54.986307049784955,52.81162364997272,9.31900511527854e-07,0.9319005115278539,rmse,0.2646770345920722,50
skylake_kaggleb,nyc_taxi,xgboost,fp16,53.84968857999411,0.6938989949208045,53.82523699995545,55.12622645005649,52.88797059999979,9.353527519444674e-07,0.9353527519444673,rmse,0.26525895127519344,50
skylake_kaggleb,nyc_taxi,xgboost,bf16,55.60869001996252,5.238521940101908,53.965328000003865,68.32108199985213,53.04723034998915,9.658964658055551e-07,0.9658964658055551,rmse,0.2659604822978095,50
skylake_kaggleb,nyc_taxi,xgboost,int8,53.8113269600035,0.863396107011428,53.724455500059776,55.613945849927404,52.799778500070715,9.347494788332951e-07,0.9347494788332951,rmse,1.8865738958889842,50
skylake_kaggleb,nyc_taxi,catboost,fp64,7.168959979944702,1.127879181526272,7.164180000245324,9.035078499982772,5.516029949990298,1.2500113173604177e-07,0.12500113173604177,rmse,0.27856078647882104,50
skylake_kaggleb,nyc_taxi,catboost,fp32,6.996928340031445,1.0219491857581162,6.901436499902047,8.648091249892786,5.3253372499966645,1.2195567219439836e-07,0.12195567219439836,rmse,0.27856078647882104,50
skylake_kaggleb,nyc_taxi,catboost,fp16,7.211102580004081,0.7866594015627989,7.3881150001398055,8.502700549888687,6.013345199835385,1.2576450306953448e-07,0.1257645030695345,rmse,0.278551158519672,50
skylake_kaggleb,nyc_taxi,catboost,bf16,6.97299764003219,0.9806293654247358,6.891458500149383,8.672558049920553,5.471023100039929,1.2154440537501109e-07,0.12154440537501109,rmse,0.2793229728004987,50
skylake_kaggleb,nyc_taxi,catboost,int8,7.082675900028335,0.907117867362609,7.212941500029046,8.470530800036613,5.8158565999747225,1.2353468124997057e-07,0.12353468124997058,rmse,1.9212709711219245,50
epyc_codespaces,olist,lightgbm,fp64,58.97458447999725,24.538849912534346,50.14999700000544,94.38742344999005,48.73262684993733,4.466668473274614e-06,4.4666684732746145,roc_auc,0.7869172932330828,50
epyc_codespaces,olist,lightgbm,fp32,54.49958574000448,10.510682746085442,50.59477650002009,69.17550889997413,48.939603399981024,4.283856455912193e-06,4.283856455912193,roc_auc,0.7869141604010026,50
epyc_codespaces,olist,lightgbm,fp16,54.32049429999779,9.651000891324665,49.812191499995606,80.6039511000165,48.97918085000583,4.204885372775851e-06,4.204885372775851,roc_auc,0.7868700159489632,50
epyc_codespaces,olist,lightgbm,bf16,58.23337664000064,14.686568193584094,50.51001300006419,91.70133179999311,48.82861484997534,4.480965795380996e-06,4.480965795380996,roc_auc,0.7868700159489632,50
epyc_codespaces,olist,lightgbm,int8,29.319098980008675,9.379766814660591,24.491211499992005,50.20894140000107,24.204207650001308,2.059017210095193e-06,2.059017210095193,roc_auc,0.5324556419457736,50
epyc_codespaces,olist,xgboost,fp64,27.214044599993485,6.51064626394992,25.41206949996422,34.005575100013615,25.155288850021407,1.1341700300156335e-06,1.1341700300156334,roc_auc,0.7838882718159034,50
epyc_codespaces,olist,xgboost,fp32,28.42531875999157,7.033235745884835,25.55780099999083,44.85245315000839,25.24547584996526,1.5554053165764555e-06,1.5554053165764554,roc_auc,0.7838882718159034,50
epyc_codespaces,olist,xgboost,fp16,28.087538199999926,6.905560167078923,25.446413499992104,43.135066449957534,25.209893049964194,1.421231536818723e-06,1.4212315368187232,roc_auc,0.783619417862839,50
epyc_codespaces,olist,xgboost,bf16,26.108205319987974,2.2221931279618796,25.43470749998278,30.27522214999862,25.21596939996016,8.861681636494279e-07,0.8861681636494279,roc_auc,0.783619417862839,50
epyc_codespaces,olist,xgboost,int8,29.33788955999944,8.046787724960007,25.603290499986997,49.98863520004306,25.072885200017936,1.9605424549952245e-06,1.9605424549952244,roc_auc,0.5391255126452494,50
epyc_codespaces,olist,catboost,fp64,7.9550638999967305,4.885496131035781,5.535139500068453,18.298817049941363,5.414917749965298,2.960312367501877e-07,0.2960312367501877,roc_auc,0.7764233025746183,50
